Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
85,16,3,74,9,Some Random Commen with Id 85
86,16,3,91,4,Some Random Commen with Id 86
87,16,3,7,6,Some Random Commen with Id 87
88,17,0,80,7,Some Random Commen with Id 88
89,17,0,176,7,Some Random Commen with Id 89
90,21,6,176,8,Some Random Commen with Id 90
91,21,6,189,7,Some Random Commen with Id 91
92,21,6,5,9,Some Random Commen with Id 92
93,21,6,147,1,Some Random Commen with Id 93
94,21,6,47,9,Some Random Commen with Id 94
95,21,6,48,2,Some Random Commen with Id 95
96,21,6,27,5,Some Random Commen with Id 96
97,22,2,193,8,Some Random Commen with Id 97
98,22,2,3,1,Some Random Commen with Id 98
99,22,2,20,6,Some Random Commen with Id 99
100,22,2,193,9,Some Random Commen with Id 100
101,22,2,110,4,Some Random Commen with Id 101
102,22,2,56,0,Some Random Commen with Id 102
103,22,2,96,5,Some Random Commen with Id 103
104,22,2,69,8,Some Random Commen with Id 104
105,23,8,99,7,Some Random Commen with Id 105
106,23,8,41,9,Some Random Commen with Id 106
107,23,8,40,5,Some Random Commen with Id 107
108,23,8,70,7,Some Random Commen with Id 108
109,23,8,195,1,Some Random Commen with Id 109
110,23,8,37,5,Some Random Commen with Id 110
111,23,8,105,9,Some Random Commen with Id 111
112,23,8,132,1,Some Random Commen with Id 112
113,23,8,103,1,Some Random Commen with Id 113
114,24,3,50,0,Some Random Commen with Id 114
115,24,3,22,0,Some Random Commen with Id 115
116,24,3,18,5,Some Random Commen with Id 116
117,24,3,143,1,Some Random Commen with Id 117
118,24,3,109,4,Some Random Commen with Id 118
119,24,3,7,8,Some Random Commen with Id 119
120,24,3,32,0,Some Random Commen with Id 120
121,24,3,144,0,Some Random Commen with Id 121
122,25,8,10,1,Some Random Commen with Id 122
123,25,8,190,3,Some Random Commen with Id 123
124,25,8,115,6,Some Random Commen with Id 124
125,25,8,128,8,Some Random Commen with Id 125
126,26,0,37,6,Some Random Commen with Id 126
127,26,0,60,4,Some Random Commen with Id 127
128,26,0,129,6,Some Random Commen with Id 128
129,26,0,5,3,Some Random Commen with Id 129
130,27,2,84,4,Some Random Commen with Id 130
131,27,2,91,7,Some Random Commen with Id 131
132,27,2,151,2,Some Random Commen with Id 132
133,27,2,174,8,Some Random Commen with Id 133
134,27,2,71,4,Some Random Commen with Id 134
135,28,2,165,5,Some Random Commen with Id 135
136,28,2,92,9,Some Random Commen with Id 136
137,28,2,73,8,Some Random Commen with Id 137
138,28,2,135,0,Some Random Commen with Id 138
139,28,2,21,9,Some Random Commen with Id 139
140,28,2,22,5,Some Random Commen with Id 140
141,30,2,166,0,Some Random Commen with Id 141
142,30,2,79,7,Some Random Commen with Id 142
143,31,7,163,2,Some Random Commen with Id 143
144,32,2,171,0,Some Random Commen with Id 144
145,32,2,90,5,Some Random Commen with Id 145
146,32,2,31,0,Some Random Commen with Id 146
147,32,2,109,7,Some Random Commen with Id 147
148,32,2,105,3,Some Random Commen with Id 148
149,33,6,185,3,Some Random Commen with Id 149
150,33,6,163,5,Some Random Commen with Id 150
151,33,6,192,3,Some Random Commen with Id 151
152,33,6,98,3,Some Random Commen with Id 152
153,34,0,117,2,Some Random Commen with Id 153
154,34,0,1,5,Some Random Commen with Id 154
155,35,3,41,9,Some Random Commen with Id 155
156,36,2,27,9,Some Random Commen with Id 156
157,36,2,132,8,Some Random Commen with Id 157
158,36,2,159,2,Some Random Commen with Id 158
159,36,2,164,4,Some Random Commen with Id 159
160,36,2,89,2,Some Random Commen with Id 160
161,38,4,162,9,Some Random Commen with Id 161
162,38,4,157,8,Some Random Commen with Id 162
163,38,4,77,6,Some Random Commen with Id 163
164,38,4,24,8,Some Random Commen with Id 164
165,38,4,54,5,Some Random Commen with Id 165
166,38,4,169,1,Some Random Commen with Id 166
167,38,4,181,4,Some Random Commen with Id 167
168,39,1,121,8,Some Random Commen with Id 168
169,39,1,80,3,Some Random Commen with Id 169
170,39,1,1,5,Some Random Commen with Id 170
171,39,1,169,4,Some Random Commen with Id 171
172,39,1,72,3,Some Random Commen with Id 172
173,39,1,41,7,Some Random Commen with Id 173
